acc,ions,num_of_votes,abstain,no,veto,double_voting
cosmos1s05va5d09xlq3et8mapsesqh6r5lqy7mnr69mg,5,6,0,0,0,0
cosmos1lcwxu50rvvgf9v6jy6q5mrzyhlszwtjxjlydhj,4,13,1,2,0,2
cosmos19j2hd230c3hw6ds843yu8akc0xgvdvyu83c6xl,23,24,0,1,0,0
cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,16,17,1,2,1,0
cosmos1wdrypwex63geqswmcy5qynv4w3z3dyef0503lw,10,11,0,0,0,0
cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,9,10,0,1,0,0
cosmos1d0aup392g3enru7eash83sedqclaxvp7vkr0y9,5,6,0,0,0,0
cosmos1ssm0d433seakyak8kcf93yefhknjleed4psy4g,9,10,0,0,0,0
cosmos1x88j7vp2xnw3zec8ur3g4waxycyz7m0mcreeaj,10,11,0,0,1,0
cosmos124maqmcqv8tquy764ktz7cu0gxnzfw54k9cmz5,10,15,1,0,0,0
cosmos1tpxs9gf9gg74mdu7ya4gxhr5560jsxnpsk5sjk,2,3,0,0,0,0
cosmos1wauge4px27c257nfn4k3329wteddqw7g4980k0,2,3,0,0,0,0
cosmos1crqm3598z6qmyn2kkcl9dz7uqs4qdqnrlyn8pq,2,6,0,1,0,0
cosmos1ptyzewnns2kn37ewtmv6ppsvhdnmeapvwavsg8,14,15,0,0,0,0
cosmos146kwpzhmleafmhtaxulfptyhnvwxzlvmz2rmlg,8,9,0,0,0,0
cosmos12f7uaaahnsqq4jqra2q2h0pz7eyjvvuxf3zgjt,1,2,0,0,0,0
cosmos19kwwdw0j64xhrmgkz49l0lmu5uyujjayrfzmuq,11,12,0,0,1,0
cosmos1hy2h208h9g77wcs60wn9nch3f9wkrvdl0fptye,2,3,0,0,0,0
cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,18,19,0,0,0,0
cosmos1fhr7e04ct0zslmkzqt9smakg3sxrdve6etv27e,15,16,1,0,0,0
cosmos1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8kqnyy4,14,15,0,1,0,0
cosmos102ruvpv2srmunfffxavttxnhezln6fnc3pf7tt,13,14,0,2,1,0
cosmos1068jfs4mhwwtscyxzcgcgugs2qqfm453pcswjz,13,14,0,3,0,0
